Compound	Substrate	Enzyme	Regulation
12-HETE	AA	LOX	Up in MIDY
13-HODE	LA	LOX	Up in MIDY
12,13-EpOME	LA	CYP	Down in MIDY
14,15-EET	AA	CYP	Up in MIDY
9,10-EpOME	LA	CYP	Down in MIDY
15-HETE	AA	LOX	Up in MIDY
9-HODE	LA	LOX	Down in MIDY
8,9-EET	AA	CYP	Up in MIDY
11,12-EET	AA	CYP	Up in MIDY
8,9-EET (127)	AA	CYP	Up in MIDY
5,6-EET	AA	CYP	Down in MIDY
9-oxo-ODE	LA	LOX	Up in MIDY
5-HETE	AA	LOX	Up in MIDY
11-HETE	AA	LOX	Down in MIDY
9-HETE	AA	NE	Up in MIDY
8-HETE	AA	LOX	Down in MIDY
5-oxo-ETE	AA	LOX	Up in MIDY
15-oxo-ETE	AA	LOX	Up in MIDY
13-oxo-ODE	LA	LOX	Up in MIDY
14,15-EpEDE	LA	CYP	Down in MIDY
12-HEPE	EPA	LOX	Up in MIDY
4-oxo-DHA	DHA	LOX	Up in MIDY
trans-EKODE-(E)-Ib	LA	NE	Down in MIDY
17,18-EEQ	EPA	CYP	Down in MIDY
12-oxo-ETE	AA	LOX	Up in MIDY
12,13-DiHOME	LA	CYP	Down in MIDY
16-HETE	AA	CYP	Up in MIDY
20-HETE	AA	CYP	Down in MIDY
12-HHTrE	AA	COX	Down in MIDY
11,12-EEQ	EPA	CYP	Up in MIDY
9,10-DiHOME	LA	CYP	Down in MIDY
14,15-EEQ	EPA	CYP	Up in MIDY
20-HETE (245.2)	AA	CYP	Up in MIDY
8,9-EEQ	EPA	CYP	Up in MIDY
20-COOH-ARA	AA	CYP	Down in MIDY
15-HEPE	EPA	LOX	Up in MIDY
5,6-DHET	AA	CYP	Down in MIDY
5,6-DiHETE	EPA	CYP	Down in MIDY
9-HOTrE	LA	LOX	Up in MIDY
16,17-EDP	DHA	CYP	Up in MIDY
5,12-DiHETE	AA	LOX	Up in MIDY
20-HDHA	DHA	CYP	Up in MIDY
19,20-EDP	DHA	CYP	Up in MIDY
14-HDHA	DHA	LOX	Up in MIDY
18-HEPE	EPA	CYP	Down in MIDY
5-HEPE	EPA	LOX	Down in MIDY
7,8-EDP	DHA	CYP	Up in MIDY
8(S),15(S)-DiHETE	AA	LOX	Up in MIDY
4-HDHA	DHA	LOX	Up in MIDY
13-gamma-HOTrE	LA	LOX	Up in MIDY
17-HDHA	DHA	LOX	Up in MIDY
17-oxo-DHA	DHA	CYP	Up in MIDY
9-oxo-OtrE	LA	LOX	Down in MIDY
9-HEPE	EPA	LOX	Down in MIDY
5(S),15(S)-DiHETE	AA	LOX	Up in MIDY
8,9-DHET	AA	CYP	Down in MIDY
10,11-EDP	DHA	CYP	Up in MIDY
5-HeTrE	LA	LOX	Up in MIDY
11,12-DHET	AA	CYP	Down in MIDY
11-HEPE	EPA	LOX	Down in MIDY
14,15-DHET	AA	CYP	Down in MIDY
19-HETE	AA	CYP	Up in MIDY
13,14-EDP	DHA	CYP	Up in MIDY
19,20-DiHDPA	DHA	CYP	Down in MIDY
22-HDHA	DHA	CYP	Down in MIDY
7-HDHA	DHA	LOX	Up in MIDY
11-HDHA	DHA	LOX	Up in MIDY
13-HDHA	DHA	NE	Down in MIDY
18-HETE	AA	CYP	Up in MIDY
8-HDHA	DHA	NE	Up in MIDY
8-HEPE	EPA	LOX	Down in MIDY
tetranor-12-HETE	AA	LOX	Up in MIDY
10-HDHA	DHA	LOX	Up in MIDY
17-HETE	AA	CYP	Up in MIDY
20-HEPE	EPA	CYP	Down in MIDY
16-HDHA	DHA	NE	Down in MIDY
17,18-DiHETE	EPA	CYP	Down in MIDY
10,11-DiHDPA	DHA	CYP	Down in MIDY
13,14-DiHDPA	DHA	CYP	Up in MIDY
7,8-DiHDPA	DHA	CYP	Down in MIDY
12-HpETE	AA	LOX	Down in MIDY
8,9-DiHETE	EPA	CYP	Up in MIDY
NPD-1	DHA	LOX	Up in MIDY
14,15-DiHETE	EPA	CYP	Up in MIDY
11,12-DiHETE	EPA	CYP	Up in MIDY
