TermID	enrichment.score
GO:0050900	0.792005
GO:0002696	0.553745
GO:0002697	0.872453
GO:0002920	1.88449
GO:0045087	0.547988
GO:0050865	0.435833
GO:0050867	0.548237
GO:0052548	0.683803
GO:0052547	0.624066
GO:0030449	1.79438
GO:0030198	0.565321
GO:0050878	0.539878
GO:0051251	0.433581
GO:0007599	0.610576
GO:0006953	2.87159
GO:0007596	0.609865
GO:0042060	0.448376
GO:0022409	0.684686
GO:0002576	1.15162
GO:0002694	0.386379
GO:0002703	0.975334
GO:0006959	1.12799
GO:0045785	0.463468
GO:1903039	0.543372
GO:0009611	0.366021
GO:0006954	0.919944
GO:0031589	0.675473
GO:0050870	0.445352
GO:0002250	0.848701
GO:0006909	0.499286
GO:0050819	1.11788
GO:0050730	0.583686
GO:0030195	1.23722
GO:0002699	0.938684
GO:0072378	1.84725
GO:0070268	2.17236
GO:0006024	2.02361
GO:0010466	0.876965
GO:0007229	0.887622
GO:0010951	0.899018
GO:0030193	0.825551
GO:0006022	1.24353
GO:0016064	1.27847
GO:0050818	0.769761
GO:0002705	1.28457
GO:0030203	1.29932
GO:0051249	0.292026
GO:0018146	4.79414
GO:0000184	0.219684
GO:0061025	0.37403
GO:0002888	1.78203
GO:0010883	2.82171
GO:0019083	0.213576
GO:0002922	4.22461
GO:0002526	2.04074
GO:0001906	1.143
GO:0002460	0.847255
GO:0043300	1.06402
GO:0000956	0.19702
GO:0022407	0.499847
GO:0032675	0.501469
GO:0002455	1.83521
GO:0006402	0.191694
GO:0009617	0.573217
GO:0031341	0.994746
GO:1903037	0.373326
GO:0019080	0.195251
GO:0030168	0.652181
GO:0044409	0.491314
GO:0045104	1.5574
GO:0001894	0.477726
GO:0045861	0.702477
GO:0002449	0.969823
GO:0040017	0.2505
GO:1903047	0.217003
GO:0050764	1.18546
GO:1903510	1.39484
GO:0002708	1.27439
GO:0006958	1.89539
GO:0010950	0.277437
GO:0097530	1.2308
GO:0001817	0.323322
GO:0002824	1.39065
GO:0002886	1.31608
GO:0043315	5.3363
GO:1903035	0.768453
GO:0034446	0.688379
GO:0001969	5.24482
GO:0097529	0.931082
GO:0050670	0.423881
GO:0046649	0.34137
GO:1902565	4.31652
GO:0006935	0.255886
GO:0050671	0.531787
GO:0051346	0.584082
GO:0098609	0.505474
GO:0042730	1.78648
GO:0010952	0.234821
GO:0002819	1.15796
GO:0007159	0.7682
GO:2000147	0.239753
GO:0000041	0.935281
GO:0003013	0.347171
GO:0007597	1.68556
GO:0034116	2.60098
GO:0034374	4.84256
GO:0002706	0.882953
GO:0006027	1.15499
GO:0050863	0.282436
GO:0006919	0.473469
GO:0006026	1.09021
GO:0050731	0.573681
GO:0030335	0.221227
GO:0032102	0.467661
GO:0050658	0.111652
GO:0002521	0.437814
GO:0008015	0.374853
GO:0019730	0.919193
GO:0048871	0.290928
GO:0061045	0.768992
GO:0002889	1.43289
GO:0006957	1.93383
GO:0070665	0.450843
GO:0042102	0.550561
GO:0052126	0.439317
GO:0018149	1.75466
GO:0002821	1.3272
GO:0006888	0.225825
GO:0030855	0.522343
GO:0019941	0.111328
GO:0050727	0.537257
GO:0006612	0.161201
GO:0051272	0.226471
GO:0006898	0.752675
GO:0006614	0.207719
GO:0006897	0.381135
GO:0070365	4.36056
GO:0042110	0.280833
GO:0042743	1.45147
GO:0006511	0.115081
GO:0046395	0.301279
GO:0071166	0.171775
GO:0070663	0.357372
GO:0050906	2.90249
GO:0034114	1.63217
GO:0046718	0.530681
GO:0034655	0.123275
